NAME,LINK,ADDRESS,CITY,ZIP,ZIP4,PHONE,FAX,ACUTE,ICU,CAH,Heli,Weblink,Beds_Total,Beds_Total_ICU,Updated,Beds_Psychiatric,longitude,latitude
"Providence Holy Family Hospital ",19,"5633 N. Lidgerwood","Spokane","99207","1224","(509) 482-0111","(509) 482-2456","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=91",241,14,[object Object],0,47.70976063311785,-117.40673901690465
"Odessa Memorial Healthcare Center",20,"502 Amende Dr E","Odessa","99159","0368","(509) 982-2611","(509) 982-2616","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=53",25,0,[object Object],0,47.33119518929251,-118.68251861760197
"Othello Community Hospital ",21,"315 14th Ave N","Othello","99344","1297","(509) 488-2636","(509) 488-3857","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=57",14,0,[object Object],0,46.83041479392755,-119.15527556577125
"PeaceHealth St. John Medical Center ",22,"1615 Delaware St","Longview","98632","3002","(360) 414-2000","(360) 414-7550","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=46",87,16,[object Object],0,46.130699162664996,-122.94176379102335
"Skagit Valley Hospital ",23,"1415 Kincaid St E","Mount Vernon","98273","4190","(360) 424-4111","(360) 856-7400","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=51",120,16,[object Object],0,48.417875400699074,-122.32405812238
"Providence St. Joseph's Hospital",24,"500 Webster Ave E","Chewelah","99109","0197","(509) 935-8211","(509) 482-2560","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=22",23,0,[object Object],0,48.2777682505574,-117.71081812488431
"Confluence Health - Central Washington Hospital",26,"1201 South Miller Street","Wenatchee","98807","1887","(509) 662-1511","(509) 662-6770","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=108",176,20,[object Object],0,47.40661052724962,-120.32104495711603
"East Adams Rural Healthcare",27,"903 South Adams St","Ritzville","99169","2298","(509) 659-1200","(509) 659-1252","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=71",16,0,[object Object],0,47.12122489216397,-118.37190058864209
"Trios Health",28,"900 Auburn St S","Kennewick","99336","5672","(509) 586-6111","(509) 586-5894","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=42",74,14,[object Object],0,46.199251383111985,-119.11923065835327
"Kittitas Valley Healthcare",29,"603 Chestnut St S","Ellensburg","98926","3897","(509) 962-9841","(509) 962-7351","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=31",25,20,[object Object],0,46.98709980583856,-120.53791072667092
"Klickitat Valley Health",30,"310 South Roosevelt Ave","Goldendale","98620","0005","(509) 773-4022","(509) 773-4714","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=39",15,0,[object Object],0,45.8201860614879,-120.8111201919046
"Lourdes Medical Center",31,"520 4th Ave N","Pasco","99301","5257","(509) 547-7704","(509) 546-2291","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=58",25,6,[object Object],0,46.23503152726286,-119.09540012981284
"Pullman Regional Hospital",32,"1125 Washington Ave NE","Pullman","99163","4742","(509) 332-2541","(509) 332-4242","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=64",25,4,[object Object],0,46.72744687035428,-117.16620528849784
"Providence St. Mary Medical Center ",33,"401 Poplar St W","Walla Walla","99362","2846","(509) 525-3320","(509) 522-5950","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=106",142,14,[object Object],0,46.06223364911057,-118.34321077457182
"Multicare Deaconess Hospital ",34,"800 West Fifth Avenue","Spokane","99210"," ","(509) 458-5800","(509) 458-7306","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=85",262,18,[object Object],0,47.651963489170384,-117.42336680700548
"Sacred Heart Medical Center & Childrens Hospital",35,"101 8th Ave W","Spokane","99220","4045","(509) 474-3131","(509) 455-4856","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=92",701,97,[object Object],44,47.64891123489143,-117.41305079495386
"Shriners Hospital for Children",36,"911 Fifth Avenue W.","Spokane","99204","7844","(509) 455-7844"," ","Yes","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=146",32,0,[object Object],0,47.65090861585435,-117.42568513183271
"PeaceHealth Southwest Medical Center ",37,"400 NE Mother Joseph Place","Vancouver","98668","1600","(360) 256-2000","(360) 256-2006","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=105",234,48,[object Object],16,45.62444304419739,-122.5807413897364
"Swedish Medical Center/First Hill ",38,"747 Broadway","Seattle","98114","0999","(206) 386-6000","(206) 386-2277","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=77",623,41,[object Object],0,47.608666944732306,-122.32163591820402
"Multicare Valley Hospital ",39,"12606 Mission Ave E","Spokane Valley","99216","1090","(509) 924-6650","(509) 458-7306","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=94",123,10,[object Object],0,47.67077054193773,-117.23548487392942
"Veterans Affairs Medical Center",41,"N. 4815 Assembly St.","Spokane","99205","6197","(509) 328 4521","(509) 327-0222","No","Yes","No","No","http://www.spokane.va.gov/",20,4,[object Object],0,47.70247912155449,-117.47770995308582
"St. Luke's Rehabilitation Institute",42,"711 Cowley St S","Spokane","99202","1330","(509) 838-4771","(509) 473-6097","Yes","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=145",70,0,[object Object],0,47.64901360281681,-117.40909890698131
"MultiCare Auburn Medical Center",43,"202 North Division St","Auburn","98002","4932","(253) 833-7711","(253) 939-2376","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=13",161,17,[object Object],58,47.30891922005344,-122.22905048460927
"Seattle Children's",44,"4800 Sandpoint Way NE","Seattle","98105","0317","(206) 526-2000","(206) 526-3830","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=72",360,53,[object Object],41,47.662573928062564,-122.28209782730438
"Astria Toppenish Hospital ",45,"502 4th Ave W","Toppenish","98948","0672","(509) 865-3105","(509) 865-1519","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=104",40,3,[object Object],15,46.37085066221843,-120.31707172482658
"UW Medicine/University of Washington Medical Center ",47,"1959 Pacific St NE","Seattle","98195","6028","(206) 548-6486","(206) 543-4365","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=80",419,86,[object Object],27,47.65086381600788,-122.3092754693982
"Cascade Valley Hospital ",49,"330 Stillaguamish Ave S","Arlington","98223","1641","(360) 435-2133","(360) 435-0513","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=12",30,6,[object Object],0,48.188925281593775,-122.11896077821656
"Providence Regional Medical Center Everett",50,"1700 13th Street","Everett","98201"," ","(425) 261-2000"," ","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=34",571,48,[object Object],0,47.999899463749465,-122.20572436660744
"EvergreenHealth Medical Center ",51,"12040 128th St NE","Kirkland","98033","3098","(425) 899-1000","(425) 899-2624","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=44",216,20,[object Object],0,47.715896784469415,-122.17841599818007
"Ferry County Memorial Hospital",52,"36 North Klondike Road","Republic","99166","0365","(509) 775-3333","(509) 775-3866","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=69",13,0,[object Object],0,48.65304750557252,-118.73141537254045
"UW Medicine/Valley Medical Center",53,"400 43rd St S","Renton","98055","5784","(425) 228-3450","(425) 656-4202","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=68",285,30,[object Object],0,47.44278372608326,-122.2139801162813
"NAVOS Psychiatric Hospital",54,"2600 SW Holden","Seattle","98168"," ","(206) 933-7000","(206) 933-7218","No","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=143",28,0,[object Object],70,47.53473049191953,-122.36662399911164
"Swedish Edmonds",55,"21601 76th Ave W","Edmonds","98020","3702","(425) 640-4000","(425) 640-4010","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=30",176,12,[object Object],0,47.80322196946314,-122.33437192317093
"Western State Hospital",56,"9601 Steilacoom Boulevard Sw","Tacoma","98498","0500","(253) 582-8900"," ","No","No","No","No","https://www.dshs.wa.gov/bhsia/division-state-hospitals/western-state-hospital-general-information",857,0,[object Object],806,47.17832561263208,-122.56574974959995
"Three Rivers Hospital ",57,"507 Hospital Way","Brewster","98812","0577","(509) 689-2517","(509) 689-2086","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=17",10,0,[object Object],0,48.106232052763595,-119.7826473722572
"Harrison Medical Center - Silverdale",58,"1800 NW Myhre Rd","Silverdale","98383"," ","(360) 337-8800"," ","Yes","No","No","No","http://www.harrisonmedical.org/home/location/2",68,0,[object Object],0,47.65555398875915,-122.67542075411416
"Naval Hospital Oak Harbor",59,"3475 N. Saratoga St.","Oak Harbor","98278","8800","(360) 257-9500","(360) 257-9719","No","Yes","No","Yes","http://www.med.navy.mil/sites/nhoh/Pages/default.aspx",25,2,[object Object],0,48.3364646696873,-122.68122789562972
"Coulee Medical Center",60,"411 Fortuyn Rd","Grand Coulee","99133","8718","(509) 633-1753","(509) 633-0951","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=40",25,0,[object Object],0,47.942229529039146,-119.00700762047566
"Prosser Memorial Health",61,"723 Memorial St","Prosser","99350","1593","(509) 786-2222","(509) 786-2307","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=63",25,0,[object Object],0,46.208088304262844,-119.76406118996248
"Providence Centralia Hospital ",62,"914 South Scheuber Road","Centralia","98531","9027","(360) 736-2803","(360) 740-8320","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=20",128,6,[object Object],0,46.71154391454205,-122.98826980865324
"Quincy Valley Medical Center",63,"908 10th Ave SW","Quincy","98848","1376","(509) 787-3531","(509) 787-2016","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=66",10,0,[object Object],0,47.230912616728155,-119.86818656237192
"Confluence Health - Wenatchee Valley Hospital",65,"820 N. Chelan Avenue","Wenatchee","98801"," ","(509) 665-5850","(509) 665-5864","Yes","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=144",11,0,[object Object],0,47.43353516266839,-120.32310108697696
"Newport Hospital & Health Services",66,"714 West Pine St.","Newport","99156","9046","(509) 447-2441","(509) 447-5527","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=52",24,0,[object Object],0,48.18242848346906,-117.04921182926824
"Garfield County Public Hospital District",67,"66 N 6th Street","Pomeroy","99347","0880","(509) 843-1591","(509) 843-1234","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=60",25,0,[object Object],0,46.4755053333143,-117.60296193272684
"Cascade Medical",68,"817 Commercial St","Leavenworth","98826","0330","(509) 548-5815","(509) 548-1411","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=45",9,0,[object Object],0,47.59445705530466,-120.66080134467943
"Columbia Basin Hospital",69,"200 Southeast Blvd","Ephrata","98823","1997","(509) 754-4631","(509) 754-6356","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=33",25,0,[object Object],0,47.317759600373456,-119.54969111328194
"Dayton General Hospital",70,"1012 S 3rd St","Dayton","99328","1696","(509) 382-2531","(509) 382-3205","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=28",16,0,[object Object],0,46.31211082746751,-117.97026762920346
"Forks Community Hospital",71,"530 Bogachiel Way","Forks","98331","9120","(360) 374-6271","(360) 374-5220","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=38",16,0,[object Object],0,47.946212809986804,-124.39260323970012
"Grays Harbor Community Hospital ",72,"915 Anderson Dr","Aberdeen","98520","1097","(360) 537-5000","(360) 537-5034","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=1",43,8,[object Object],0,46.97924106112989,-123.84720087644938
"Island Hospital ",73,"1211 24th St","Anacortes","98221","2590","(360) 299-1300","(360) 299-1384","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=2",43,10,[object Object],0,48.50193444829133,-122.6156818881916
"Jefferson Healthcare",74,"834 Sheridan St","Port Townsend","98368","2499","(360) 385-2200","(360) 385-1548","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=62",39,6,[object Object],0,48.10604897413142,-122.78928821841124
"Kadlec Regional Medical Center",75,"888 Swift Blvd","Richland","99352","3583","(509) 946-4611","(509) 942-2003","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=70",300,20,[object Object],0,46.2813492924749,-119.28196999646451
"Lincoln Hospital",76,"10 Nichols St","Davenport","99122","0068","(509) 725-7101","(509) 725-2112","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=27",25,0,[object Object],0,47.657933847386026,-118.14537392504431
"Providence Mount Carmel Hospital",77,"982 E Columbia Ave","Colville","99114","0351","(509) 684-2561","(509) 685-2492","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=25",41,4,[object Object],0,48.54067800738482,-117.89276274350544
"Olympic Memorial Hospital ",78,"939 Caroline St","Port Angeles","98362","3997","(360) 417-7000","(360) 417-7739","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=61",67,10,[object Object],0,48.11556125295676,-123.41504219098672
"PeaceHealth St. Joseph Medical Center",79,"2901 Squalicum Parkway","Bellingham","98225","1898","(360) 734-5400","(360) 715-6406","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=15",179,34,[object Object],20,48.77332166581275,-122.4732015968506
"Samaritan Healthcare",80,"801 E. Wheeler Rd","Moses Lake","98837","1899","(509) 765-5606","(509) 765-3499","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=50",50,15,[object Object],0,47.128169228637624,-119.26520290534049
"Astria Sunnyside Hospital ",81,"1016 Tacoma Avenue","Sunnyside","98944","2262","(509) 837-1500","(509) 837-1740","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=95",37,7,[object Object],0,46.32248544890405,-120.00669590681963
"Tri-State Memorial Hospital",82,"1221 Highland Ave","Clarkston","99403","0189","(509) 758-5511","(509) 758-3566","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=23",25,4,[object Object],0,46.40286788847015,-117.05437296905423
"Franciscan Health Harrison Medical Center",83,"2520 Cherry Ave","Bremerton","98310","4270","(360) 377-3911","(360) 792-6515","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=16",212,20,[object Object],0,47.583158942172375,-122.62506080376626
"MultiCare Mary Bridge Children's Hospital and Health Center",84,"317 Martin Luther King Jr Way","Tacoma","98405","4234","(253) 403-1400","(253) 552-1180","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=97",82,20,[object Object],0,47.25981699264135,-122.45288253571623
"WhidbeyHealth",85,"101 North Main Street","Coupeville","98239","0400","(360) 678-5151","(360) 678-0945","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=26",25,6,[object Object],0,48.21389896373422,-122.6843418387819
"Virginia Mason Medical Center",86,"1100 Ninth Avenue","Seattle","98101","0900","(206) 624-1144","(206) 223-6924","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=82",259,47,[object Object],0,47.60883057640544,-122.3279887047755
"Capital Medical Center",87,"3900 Capital Mall Dr SW","Olympia","98502"," ","(360) 754-5858","(360) 956-2574","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=54",74,10,[object Object],0,47.04273649374737,-122.95180159889392
"Lourdes Counseling Center",88,"1175 Carondelet Drive","Richland","99352","3396","(509) 943-9104","(509) 943-7206","No","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=59",44,0,[object Object],21,46.28313332905121,-119.28132150412867
"Cascade Behavioral Health",89,"12844 Military Road South","Tukwila","98168"," ","(206) 244-0180","(206) 243-7002","No","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=207",137,0,[object Object],137,47.48772237418858,-122.29599306072667
"Swedish Ballard",91,"5300 Tallman Ave NW","Seattle","98107","3985","(206) 782-2700"," ","Yes","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=77",103,0,[object Object],0,47.667379216611096,-122.37956454402823
"VA Puget Sound Health Care System",92,"1660 S. Columbian Way","Seattle","98108","1597","(206) 762-1010","(206) 764-2250","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=149",71,18,[object Object],0,47.56323670935844,-122.3080404767912
"UW Medicine/Harborview Medical Center",93,"325 Ninth Ave","Seattle","98104","2499","(206) 731-3000","(206) 731-8551","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=74",396,97,[object Object],45,47.60386582280897,-122.3240037512147
"UW Medical Center - Northwest Seattle Hospital ",94,"1550 North 115th St","Seattle","98133","8401","(877) 694-4677"," ","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=75",186,15,[object Object],27,47.71335002317681,-122.33886615409472
"Overlake Medical Center ",95,"1035 116th Ave NE","Bellevue","98004","4686","(425) 688-5000","(425) 688-5959","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=14",263,30,[object Object],34,47.62049704673557,-122.18718996471675
"Virginia Mason Memorial Hospital",97,"2811 Tieton Drive","Yakima","98902","3799","(509) 575-8000","(509) 575-8921","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=111",226,27,[object Object],18,46.593751019481026,-120.54796084582348
"Fairfax Behavioral Health",98,"10200 NE 132nd St","Kirkland","98034","2899","(425) 821-2000","(425) 821-9010","No","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=43",134,0,[object Object],133,47.719127849507395,-122.20428825083779
"EvergreenHealth Monroe",99,"14701 179th Ave SE","Monroe","98272","1108","(360) 794-7497","(360) 794-1486","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=48",31,4,[object Object],14,47.86422564562762,-121.98981445395238
"MultiCare Good Samaritan Hospital",100,"407 14Th Ave SE","Puyallup","98372","3851","(253) 848-6661","(253) 845-5966","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=65",361,90,[object Object],0,47.1791856570948,-122.28954472366917
"Swedish Medical Center - Cherry Hill Campus",101,"500 17th Ave","Seattle","98122","5799","(206) 320-2000","(206) 320-3154","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=78",246,246,[object Object],22,47.60772690023568,-122.31061277280646
"Franciscan Health St. Elizabeth Hospital",102,"1455 Battersby Avenue","Enumclaw","98022","0218","(360) 825-2505","(360) 825-9046","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=32",28,4,[object Object],0,47.208172561285,-121.98840421436104
"Kaiser Permanente - Central Campus",103,"201 16th Avenue East","Seattle","98112","5298","(206) 326-3000","(206) 448-5105","Yes","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=73",44,0,[object Object],0,47.61998755857164,-122.31207292198344
"Highline Community Hospital ",104,"16251 Sylvester Rd SW","Burien","98166","3052","(206) 244-9970","(206) 248-5385","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=18",124,10,[object Object],0,47.45744125386926,-122.34322701659644
"Kindred Hospital Seattle - Northgate",105,"10631 - 8th Avenue N.E.","Seattle","98125","7298","(206) 364-2050","(206) 361-5722","Yes","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=81",80,0,[object Object],0,47.70681096199645,-122.32259702068082
"Providence St. Peter Hospital ",106,"413 Lilly Rd NE","Olympia","98506","5166","(360) 491-9480","(360) 493-4071","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=55",339,42,[object Object],20,47.052947502709245,-122.84740123076766
"Franciscan Health St. Clare Hospital",107,"11315 Bridgeport Way SW","Lakewood","98499","3070","(253) 588-1711","(253) 584-3001","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=100",103,10,[object Object],0,47.154315633559726,-122.50205475221553
"Franciscan Health St. Francis Hospital ",108,"34515 9th Avenue South","Federal Way","98003","6799","(253) 838-9700","(253) 591-6613","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=37",112,14,[object Object],0,47.29270341401485,-122.32740710746288
"Legacy Salmon Creek Medical Center ",109,"2211 NE 139th Street","Vancouver","98686"," ","(360) 487-1000"," ","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=155",208,16,[object Object],0,45.72098905886248,-122.64825600397535
"MultiCare Allenmore Hospital",110,"1901 S. Union Ave","Tacoma","98411","0414"," "," ","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=96",66,6,[object Object],0,47.2416521192814,-122.48106935499193
"Franciscan Health St. Anthony Hospital",111,"11567 Canterwood Blvd NW","Gig Harbor","98332","5812"," "," ","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=175",112,16,[object Object],0,47.36302836916438,-122.61356499999286
"Swedish Isaquah",112,"2005 NW Sammamish Road","Issaquah","98027"," "," "," ","Yes","Yes","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=188",125,18,[object Object],0,47.55145892814384,-122.06545857342945
"Swedish Medical Center - Redmond ED",113,"18100 Union Hill Road","Redmond","98052"," ","(425) 498-2001"," ","Yes","No","No","No","http://www.swedish.org/locations/redmond-campus",18,0,[object Object],0,47.6763190069278,-122.09914171686644
"MultiCare Tacoma General Hospital ",114,"315 Martin Luther King Jr. Way","Tacoma","98405","4291","(253) 403-1000","(253) 552-4395","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=102",385,43,[object Object],0,47.25944331757342,-122.45429872986014
"Peacehealth Peace Island Medical Center",115,"1117 Spring Street","Friday Harbor","98250"," ","(360) 378-2141"," ","Yes","No","Yes","No","http://www.wsha.org/hospitalDetail.cfm?HID=194",15,0,[object Object],0,48.529424763329715,-123.02791179035066
"Summit Pacific Medical Center",116,"600 Main Street","Elma","98541"," ","(360) 495-3244","(360) 495-4566","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=47",10,0,[object Object],0,47.00593147551032,-123.39240664865432
