id,title,description,category,tags,address,city,state,zip,phone,email,website,hours,audience,services,image_url,latitude,longitude,is_featured,is_approved,created_at,updated_at,user_id,click_count,schedule,action_urls,rating,review_count
94,Literacy Source,"Free classes and tutoring for adults in reading, writing, math, and citizenship.",Tutoring & Mentoring,"education,adults,esl,ged,family,senior,veteran,student,adult,child,youth,individual,free",3200 NE 125th St,Seattle,WA,98125,(206) 782-2050,info@literacysource.org,https://www.literacysource.org,Mon-Thu 9AM-8PM,Adult learners,"ESL, GED perparation, citizenship",https://s3.us-east-1.amazonaws.com/files.galaxydigital.com/4849/agency/59023.jpg?20250430211112,47.7196,-122.2964,False,True,2026-01-14 16:40:10.355472,2026-01-14 16:40:10.355472,,228,,[],4.0,101.0
95,Crisis Connections,Providing a 24-hour crisis line and connections to community resources for anyone in crisis in the Seattle and King County area.,Mental Health,"crisis,mental health,suicide prevention,24/7,family,senior,veteran,student,adult,child,youth,individual,counseling,therapy,depression,anxiety,emergency",9725 3rd Ave NE,Seattle,WA,98115,(206) 461-3222,info@crisisconnections.org,https://www.crisisconnections.org,24/7,Anyone in crisis,"Crisis line, teen link, resource referral",https://www.crisisconnections.org/wp-content/themes/crisisconnections/images/logo.png,47.6989,-122.3248,True,True,2026-01-14 16:40:10.378423,2026-01-14 16:40:10.378423,,281,24-hour crisis line and connections to community resources,"[{""url"":""https://www.crisisconnections.org/donate/"",""label"":""Donate""},{""url"":""https://www.crisisconnections.org/get-involved/volunteer/"",""label"":""Volunteer""}]",4.2,169.0
96,Sound Health - Capitol Hill,Comprehensive mental health and addiction recovery services.,Mental Health,"mental health,addiction,counseling,family,senior,veteran,student,adult,child,youth,individual,therapy,depression,anxiety",1600 E Olive St,Seattle,WA,98122,(206) 302-2300,info@sound.health,https://www.sound.health,Mon-Fri 8AM-5PM,"Adults, families","Counseling, case management, addiction treatment",https://www.rehab.com/wp-content/uploads/2024/09/sound-capitol-hill-seattle-wa-98122-front-entrance-696x392.webp,47.6186,-122.3105,False,True,2026-01-14 16:40:10.395629,2026-01-14 16:40:10.395629,,395,Group Sessions: Sat 10am | 1-on-1: By Appointment,"[{""url"":""https://www.sound.health/get-started/"",""label"":""Register""},{""url"":""https://www.sound.health/locations/"",""label"":""Learn More""}]",4.0,230.0
97,Northwest Justice Project,Providing free civil legal assistance to low-income people in Washington.,Legal Aid,"legal,civil law,aid,lawyer,family,senior,veteran,student,adult,child,youth,individual,free",401 2nd Ave S,Seattle,WA,98104,(206) 464-1519,info@nwjustice.org,https://nwjustice.org,Mon-Fri 9AM-5PM,Low-income residents,"Legal advice, representation, education",https://nwjustice.org/assets/logo_fb.png,47.5996,-122.3301,True,True,2026-01-14 16:40:10.417719,2026-01-14 16:40:10.417719,,454,,[],4.6,297.0
98,Unemployment Law Project,Legal assistance for people who have been denied unemployment benefits.,Rights & Legal Issues,"legal,unemployment,benefits,family,senior,veteran,student,adult,child,youth,individual",1904 3rd Ave #604,Seattle,WA,98101,(206) 441-9178,info@ulproject.org,https://unemploymentlawproject.org,Mon-Fri 9AM-5PM,Unemployed workers,"Hearings representation, advice",https://i0.wp.com/wabarnews.org/wp-content/uploads/2025/11/Nov2025_ULP-logo.jpg?resize=675%2C200&ssl=1,47.6116,-122.3402,False,True,2026-01-14 16:40:10.436046,2026-01-14 16:40:10.436046,,446,,[],4.7,157.0
99,Sound Generations (formerly Senior Services),Supporting older adults and adults with disabilities to age with dignity.,Senior Services,"seniors,meals,transportation,family,senior,veteran,student,adult,child,youth,individual,elderly,aging,retirement",2208 2nd Ave,Seattle,WA,98121,(206) 448-5757,info@soundgenerations.org,https://soundgenerations.org,Mon-Fri 8AM-5PM,"Seniors, caregivers","Meals on Wheels, transportation, caregiver support",https://togethercenter.org/wp-content/uploads/2021/03/SoundGenerationsLogoWEB_small.jpeg,47.6141,-122.3453,True,True,2026-01-14 16:40:10.45123,2026-01-14 16:40:10.45123,,272,,[],4.9,138.0
100,Pike Market Senior Center,"Enhancing the life of seniors through activities, meals, and social services.",Senior Services,"seniors,market,community,family,senior,veteran,student,adult,child,youth,individual,elderly,aging,retirement",85 Pike St #200,Seattle,WA,98101,(206) 728-2773,info@pmsc.org,https://pikemarketseniorcenter.org,Daily 8AM-4PM,Seniors 55+,"Meals, activities, social work",https://images.pikeplacemarket.org/wp-content/uploads/2021/09/21073006/market_resident-pike_place_market-800x600-1.jpg,47.6085,-122.3413,False,True,2026-01-14 16:40:10.474423,2026-01-14 16:40:10.474423,,219,,[],4.1,143.0
101,Child Care Resources,Helping families find and pay for child care in King County.,Childcare,"childcare,referral,subsidy,family,senior,veteran,student,adult,child,youth,individual",1225 S Weller St,Seattle,WA,98144,(206) 329-1011,info@childcare.org,https://childcare.org,Mon-Fri 8:30AM-4:30PM,Families with children,"Referrals, subsidies, homelessness support",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmlrkEgd6jufZGszq4JzWfmqCXR6UVmvEo8g&s,47.5976,-122.3164,True,True,2026-01-14 16:40:10.490324,2026-01-14 16:40:10.490324,,227,,[],4.8,125.0
102,El Centro de la Raza - Child Development,"Bilingual, multicultural child development center.",Preschool & Childcare,"childcare,bilingual,preschool,family,senior,veteran,student,adult,child,youth,individual",2524 16th Ave S,Seattle,WA,98144,(206) 957-4619,childcare@elcentrodelaraza.org,https://www.elcentrodelaraza.org,Mon-Fri 7AM-6PM,"Families, Latino community","Early learning, bilingual education",https://www.elcentrodelaraza.org/wp-content/uploads/2023/01/20160826_smr_prm_1113_1600x900.jpg,47.5802,-122.3115,False,True,2026-01-14 16:40:10.506507,2026-01-14 16:40:10.506507,,393,,[],4.7,265.0
103,Byrd Barr Place,"Helping people build stability and self-sufficiency through direct services and advocacy, including a community market and energy assistance.",Help Paying for Housing,"finance,energy,rent,food,family,senior,veteran,student,adult,child,youth,individual,housing,shelter,eviction,homeless",722 18th Ave,Seattle,WA,98122,(206) 812-4940,info@byrdbarr.place,https://byrdbarrplace.org,Mon-Fri 9AM-5PM,Central District residents,"Energy assistance, rental assistance, food bank",https://byrdbarrplace.org/wp-content/themes/byrdbarr/images/logo.png,47.6089,-122.3089,True,True,2026-01-14 16:40:10.525785,2026-01-14 16:40:10.525785,,309,Helping people build stability and self-sufficiency,"[{""url"":""https://byrdbarrplace.org/give/"",""label"":""Donate""},{""url"":""https://byrdbarrplace.org/"",""label"":""Learn More""}]",3.6,295.0
104,Solid Ground,Working to end poverty and undo racism and other oppressions that are root causes of poverty.,Help Finding Housing,"poverty,advocacy,stability,family,senior,veteran,student,adult,child,youth,individual,housing,shelter,rent,eviction,homeless",1501 N 45th St,Seattle,WA,98103,(206) 694-6700,info@solid-ground.org,https://www.solid-ground.org,Mon-Fri 9AM-5PM,Low-income families,"Housing stabilization, transportation, food education",https://s14621.pcdn.co/wp-content/uploads/2021/08/Solid-Ground-Social.jpg,47.6612,-122.3392,False,True,2026-01-14 16:40:10.546011,2026-01-14 16:40:10.546011,,129,,[],3.7,161.0
110,DC Central Kitchen,Provides meals to shelters and transitional homes while offering culinary job training programs to help individuals gain employment skills,Meals,"family,senior,veteran,student,adult,child,youth,individual,meal,food,nutrition",425 2nd St NW,Washington,DC,20001,(202) 234-0707,,https://dccentralkitchen.org,,,,https://dccentralkitchen.org/wp-content/uploads/2022/03/DCCentralKitchen_logo-hi-res.png,,,True,True,2026-01-22 02:20:04.034595,2026-01-22 02:20:04.034595,,486,,[],3.8,208.0
111,Coalition for the Homeless,"Provides emergency assistance, eviction prevention, and supportive housing services for individuals and families experiencing homelessness in New York City",Help Finding Housing,"family,senior,veteran,student,adult,child,youth,individual,housing,shelter,rent,eviction,homeless,emergency",129 Fulton St,New York,NY,10038,(212) 776-2000,,https://www.coalitionforthehomeless.org,,,,https://www.coalitionforthehomeless.org/wp-content/uploads/2023/08/site_logo.svg,40.7102102,-74.0075044,True,True,2026-01-22 02:20:04.139836,2026-01-22 02:20:04.139836,,493,,[],4.1,244.0
112,Boston Health Care for the Homeless Program,"Comprehensive healthcare services for individuals experiencing homelessness, including primary care, mental health services, and substance use treatment",Medical Care,"family,senior,veteran,student,adult,child,youth,individual,health,medical,clinic,doctor",780 Albany St,Boston,MA,02118,(857) 654-1000,,https://www.bhchp.org,,,,https://www.bhchp.org/wp-content/uploads/2022/09/logo-4.png,42.3336453,-71.0727911,True,True,2026-01-22 02:20:04.163483,2026-01-22 02:20:04.163483,,246,,[],4.8,153.0
115,Seattle Help Paying for Food Center,"Comprehensive help paying for food services and support for the Seattle community. We provide guidance, resources, and direct assistance to those in need.",Help Paying for Food,"family,senior,veteran,student,adult,child,youth,individual,food,nutrition,hunger,meal,pantry,snap,groceries,food assistance,ebt",100 Community Way,Seattle,WA,98001,206-555-0123,,https://foodlifeline.org,,,,https://logo.clearbit.com/foodlifeline.org,,,False,True,2026-03-06 03:41:35.702438,2026-03-06 03:41:35.702438,,195,,[],4.9,86.0
116,Tacoma Nutrition & Healthy Eating Center,"Comprehensive nutrition & healthy eating services and support for the Tacoma community. We provide guidance, resources, and direct assistance to those in need.",Nutrition & Healthy Eating,"family,senior,veteran,student,adult,child,youth,individual",101 Community Way,Tacoma,WA,98001,206-555-0123,,https://www.tacomafoodbank.org,,,,https://logo.clearbit.com/tacomafoodbank.org,,,False,True,2026-03-06 03:41:35.81843,2026-03-06 03:41:35.81843,,162,,[],3.5,213.0
117,Spokane Baby Food & Formula Center,"Comprehensive baby food & formula services and support for the Spokane community. We provide guidance, resources, and direct assistance to those in need.",Baby Food & Formula,"family,senior,veteran,student,adult,child,youth,individual,food,nutrition,hunger,meal,pantry,snap,groceries",102 Community Way,Spokane,WA,98001,206-555-0123,,https://www.2ndharvestspokane.org,,,,https://logo.clearbit.com/2ndharvestspokane.org,,,False,True,2026-03-06 03:41:35.846013,2026-03-06 03:41:35.846013,,115,,[],4.7,154.0
118,Bellevue Emergency Food Center,"Comprehensive emergency food services and support for the Bellevue community. We provide guidance, resources, and direct assistance to those in need.",Emergency Food,"family,senior,veteran,student,adult,child,youth,individual,food,nutrition,hunger,meal,pantry,snap,groceries,emergency",103 Community Way,Bellevue,WA,98001,206-555-0123,,https://www.hopelink.org,,,,https://logo.clearbit.com/hopelink.org,,,False,True,2026-03-06 03:41:35.878916,2026-03-06 03:41:35.878916,,142,,[],4.3,33.0
119,Everett Food Stamps (SNAP) Center,"Comprehensive food stamps (snap) services and support for the Everett community. We provide guidance, resources, and direct assistance to those in need.",Food Stamps (SNAP),"family,senior,veteran,student,adult,child,youth,individual,food,nutrition,hunger,meal,pantry,snap,groceries",104 Community Way,Everett,WA,98001,206-555-0123,,https://www.dshs.wa.gov,,,,https://logo.clearbit.com/dshs.wa.gov,,,False,True,2026-03-06 03:41:35.897946,2026-03-06 03:41:35.897946,,173,Mon-Fri: 8:00 AM - 5:00 PM,"[{""url"":""https://www.dshs.wa.gov/esa/community-services-offices/basic-food"",""label"":""Register""},{""url"":""https://www.everettwa.gov/790/Food-Assistance"",""label"":""Learn More""}]",4.9,279.0
120,Kent Community Gardens Center,"Comprehensive community gardens services and support for the Kent community. We provide guidance, resources, and direct assistance to those in need.",Community Gardens,"family,senior,veteran,student,adult,child,youth,individual,community,social,neighborhood,civic",105 Community Way,Kent,WA,98001,206-555-0123,,https://www.kentwa.gov,,,,https://logo.clearbit.com/kentwa.gov,,,False,True,2026-03-06 03:41:35.922024,2026-03-06 03:41:35.922024,,199,,[],4.0,77.0
121,Renton Free Summer Meals Center,"Comprehensive free summer meals services and support for the Renton community. We provide guidance, resources, and direct assistance to those in need.",Free Summer Meals,"family,senior,veteran,student,adult,child,youth,individual,meal,food,nutrition,free",106 Community Way,Renton,WA,98001,206-555-0123,,https://foodlifeline.org,,,,https://logo.clearbit.com/foodlifeline.org,,,False,True,2026-03-06 03:41:35.942534,2026-03-06 03:41:35.942534,,181,,[],4.1,83.0
122,Vancouver Housing Rights & Advice Center,"Comprehensive housing rights & advice services and support for the Vancouver community. We provide guidance, resources, and direct assistance to those in need.",Housing Rights & Advice,"family,senior,veteran,student,adult,child,youth,individual,housing,shelter,rent,eviction,homeless",107 Community Way,Vancouver,WA,98001,206-555-0123,,https://www.nwjustice.org,,,,https://logo.clearbit.com/nwjustice.org,,,False,True,2026-03-06 03:41:35.967198,2026-03-06 03:41:35.967198,,93,Legal Clinic: Wed 5pm-8pm | General Advice: Mon-Fri,"[{""url"":""https://www.vlpvancouver.org/volunteer"",""label"":""Volunteer""},{""url"":""https://www.cityofvancouver.us/government/department/community-development/housing-resources/"",""label"":""Learn More""}]",3.6,53.0
123,Olympia Home Maintenance Center,"Comprehensive home maintenance services and support for the Olympia community. We provide guidance, resources, and direct assistance to those in need.",Home Maintenance,"family,senior,veteran,student,adult,child,youth,individual",108 Community Way,Olympia,WA,98001,206-555-0123,,https://www.thurstoncountywa.gov,,,,https://logo.clearbit.com/thurstoncountywa.gov,,,False,True,2026-03-06 03:41:35.985927,2026-03-06 03:41:35.985927,,138,,[],4.7,74.0
124,Bellingham Eviction Prevention Center,"Comprehensive eviction prevention services and support for the Bellingham community. We provide guidance, resources, and direct assistance to those in need.",Eviction Prevention,"family,senior,veteran,student,adult,child,youth,individual",109 Community Way,Bellingham,WA,98001,206-555-0123,,https://www.nwjustice.org,,,,https://logo.clearbit.com/nwjustice.org,,,False,True,2026-03-06 03:41:36.005878,2026-03-06 03:41:36.005878,,67,Appointments: Tue/Thu 10am-2pm,"[{""url"":""https://www.whatcomcounty.us/3313/Eviction-Prevention"",""label"":""Register""},{""url"":""https://www.oppco.org/housing/"",""label"":""Learn More""}]",4.6,42.0
125,Seattle Section 8 Center,"Comprehensive section 8 services and support for the Seattle community. We provide guidance, resources, and direct assistance to those in need.",Section 8,"family,senior,veteran,student,adult,child,youth,individual",110 Community Way,Seattle,WA,98001,206-555-0123,,https://www.seattlehousing.org,,,,https://logo.clearbit.com/seattlehousing.org,,,False,True,2026-03-06 03:41:36.026073,2026-03-06 03:41:36.026073,,157,,[],4.3,226.0
126,Tacoma Transitional Housing Center,"Comprehensive transitional housing services and support for the Tacoma community. We provide guidance, resources, and direct assistance to those in need.",Transitional Housing,"family,senior,veteran,student,adult,child,youth,individual,housing,shelter,rent,eviction,homeless",111 Community Way,Tacoma,WA,98001,206-555-0123,,https://www.cityoftacoma.org,,,,https://logo.clearbit.com/tacomahomeless.org,,,False,True,2026-03-06 03:41:36.057899,2026-03-06 03:41:36.057899,,171,,[],4.0,94.0
127,Spokane Utility Assistance (HEART/LIHEAP) Center,"Comprehensive utility assistance (heart/liheap) services and support for the Spokane community. We provide guidance, resources, and direct assistance to those in need.",Utility Assistance (HEART/LIHEAP),"family,senior,veteran,student,adult,child,youth,individual",112 Community Way,Spokane,WA,98001,206-555-0123,,https://www.unitedwayspokane.org,,,,https://logo.clearbit.com/unitedwayspokane.org,,,False,True,2026-03-06 03:41:36.121489,2026-03-06 03:41:36.121489,,220,Winter Hours: 8:30am-4:30pm | Emergency Walk-ins welcome,"[{""url"":""https://www.snapwa.org/energy-assistance/"",""label"":""Register""},{""url"":""https://www.commerce.wa.gov/growing-the-economy/energy/low-income-home-energy-assistance-program-liheap/"",""label"":""Learn More""}]",3.9,268.0
128,Bellevue Dental Care Center,"Comprehensive dental care services and support for the Bellevue community. We provide guidance, resources, and direct assistance to those in need.",Dental Care,"family,senior,veteran,student,adult,child,youth,individual,dental,teeth,oral health",113 Community Way,Bellevue,WA,98001,206-555-0123,,https://dental.washington.edu,,,,https://logo.clearbit.com/dental.washington.edu,,,False,True,2026-03-06 03:41:36.157816,2026-03-06 03:41:36.157816,,109,,[],4.6,236.0
129,Everett Substance Use Center,"Comprehensive substance use services and support for the Everett community. We provide guidance, resources, and direct assistance to those in need.",Substance Use,"family,senior,veteran,student,adult,child,youth,individual",114 Community Way,Everett,WA,98001,206-555-0123,,https://www.snohomishcountywa.gov,,,,https://logo.clearbit.com/behavioralhealth.snohomishcountywa.gov,,,False,True,2026-03-06 03:41:36.222895,2026-03-06 03:41:36.222895,,171,,[],4.1,177.0
130,Kent Sexual Health Center,"Comprehensive sexual health services and support for the Kent community. We provide guidance, resources, and direct assistance to those in need.",Sexual Health,"family,senior,veteran,student,adult,child,youth,individual",115 Community Way,Kent,WA,98001,206-555-0123,,https://kingcounty.gov,,,,https://logo.clearbit.com/kingcounty.gov,,,False,True,2026-03-06 03:41:36.333726,2026-03-06 03:41:36.333726,,86,,[],3.7,223.0
131,Renton Health Insurance Center,"Comprehensive health insurance services and support for the Renton community. We provide guidance, resources, and direct assistance to those in need.",Health Insurance,"family,senior,veteran,student,adult,child,youth,individual",116 Community Way,Renton,WA,98001,206-555-0123,,https://www.wahbexchange.org,,,,https://logo.clearbit.com/wahbexchange.org,,,False,True,2026-03-06 03:41:36.35802,2026-03-06 03:41:36.35802,,219,,[],4.8,238.0
132,Vancouver Diabetes Support Center,"Comprehensive diabetes support services and support for the Vancouver community. We provide guidance, resources, and direct assistance to those in need.",Diabetes Support,"family,senior,veteran,student,adult,child,youth,individual",117 Community Way,Vancouver,WA,98001,206-555-0123,,https://www.peacehealth.org,,,,https://logo.clearbit.com/peacehealth.org,,,False,True,2026-03-06 03:41:36.381611,2026-03-06 03:41:36.381611,,184,,[],4.6,148.0
133,Olympia Clinics Center,"Comprehensive clinics services and support for the Olympia community. We provide guidance, resources, and direct assistance to those in need.",Clinics,"family,senior,veteran,student,adult,child,youth,individual",118 Community Way,Olympia,WA,98001,206-555-0123,,https://www.thurstoncountywa.gov,,,,https://logo.clearbit.com/thurstoncountywa.gov,,,False,True,2026-03-06 03:41:36.402043,2026-03-06 03:41:36.402043,,56,,[],4.1,239.0
134,Bellingham Counseling Center,"Comprehensive counseling services and support for the Bellingham community. We provide guidance, resources, and direct assistance to those in need.",Counseling,"family,senior,veteran,student,adult,child,youth,individual",119 Community Way,Bellingham,WA,98001,206-555-0123,,https://www.whatcomcounty.us,,,,https://logo.clearbit.com/whatcomcounty.us,,,False,True,2026-03-06 03:41:36.425652,2026-03-06 03:41:36.425652,,211,,[],3.8,299.0
